Dataset ID,Quantum State,Method,Expected Fidelity,Observed Fidelity,Expected Error,Observed Error,CI Lower Bound,CI Upper Bound
QST Dataset1,State 1,Bayesian Inference,0.926,0.714,0.06,0.053,0.859,0.767
QST Dataset1,State 2,Maximum Likelihood,0.701,0.702,0.181,0.251,0.871,0.778
QST Dataset1,State 3,Variational Quantum Eigensolver,0.704,0.946,0.256,0.267,0.705,0.959
QST Dataset1,State 4,Quantum Neural Networks,0.781,0.888,0.209,0.066,0.88,0.886
QST Dataset1,State 5,Reinforcement Learning Quantum Algorithms,0.761,0.812,0.155,0.231,0.861,0.822
QST Dataset1,State 1,Shadow Tomography,0.77,0.723,0.283,0.113,0.672,0.796
QST Dataset1,State 2,Bayesian Inference,0.8,0.774,0.186,0.185,0.705,0.794
QST Dataset1,State 3,Maximum Likelihood,0.84,0.708,0.14,0.16,0.83,0.932
QST Dataset1,State 4,Variational Quantum Eigensolver,0.82,0.911,0.059,0.1,0.829,0.905
QST Dataset1,State 5,Quantum Neural Networks,0.894,0.705,0.093,0.155,0.847,0.751
QST Dataset1,State 1,Reinforcement Learning Quantum Algorithms,0.849,0.754,0.132,0.188,0.854,0.914
QST Dataset1,State 2,Shadow Tomography,0.809,0.738,0.239,0.208,0.911,0.871
QST Dataset1,State 3,Bayesian Inference,0.859,0.786,0.057,0.073,0.892,0.829
QST Dataset1,State 4,Maximum Likelihood,0.885,0.748,0.262,0.251,0.656,0.804
QST Dataset1,State 5,Variational Quantum Eigensolver,0.82,0.774,0.25,0.062,0.702,0.806
QST Dataset1,State 1,Quantum Neural Networks,0.919,0.822,0.182,0.278,0.832,0.913
QST Dataset1,State 2,Reinforcement Learning Quantum Algorithms,0.929,0.821,0.103,0.159,0.658,0.924
QST Dataset1,State 3,Shadow Tomography,0.875,0.886,0.201,0.072,0.894,0.895
QST Dataset1,State 4,Bayesian Inference,0.948,0.891,0.227,0.252,0.787,0.867
QST Dataset1,State 5,Maximum Likelihood,0.896,0.721,0.254,0.266,0.722,0.932
QST Dataset1,State 1,Variational Quantum Eigensolver,0.84,0.833,0.29,0.182,0.848,0.965
QST Dataset1,State 2,Quantum Neural Networks,0.899,0.79,0.239,0.173,0.701,0.789
QST Dataset1,State 3,Reinforcement Learning Quantum Algorithms,0.919,0.733,0.132,0.267,0.772,0.806
QST Dataset1,State 4,Shadow Tomography,0.934,0.857,0.267,0.14,0.675,0.928
QST Dataset1,State 5,Bayesian Inference,0.849,0.794,0.194,0.274,0.87,0.751
QST Dataset1,State 1,Maximum Likelihood,0.823,0.758,0.194,0.246,0.765,0.909
QST Dataset1,State 2,Variational Quantum Eigensolver,0.84,0.746,0.129,0.068,0.773,0.914
QST Dataset1,State 3,Quantum Neural Networks,0.746,0.803,0.126,0.233,0.904,0.922
QST Dataset1,State 4,Reinforcement Learning Quantum Algorithms,0.916,0.83,0.077,0.253,0.878,0.919
QST Dataset1,State 5,Shadow Tomography,0.864,0.827,0.29,0.245,0.726,0.891
QST Dataset1,State 1,Bayesian Inference,0.858,0.907,0.289,0.239,0.739,0.874
QST Dataset1,State 2,Maximum Likelihood,0.877,0.79,0.133,0.088,0.85,0.883
QST Dataset1,State 3,Variational Quantum Eigensolver,0.717,0.879,0.241,0.081,0.688,0.923
QST Dataset1,State 4,Quantum Neural Networks,0.774,0.714,0.241,0.276,0.837,0.781
QST Dataset1,State 5,Reinforcement Learning Quantum Algorithms,0.946,0.806,0.089,0.202,0.886,0.856
QST Dataset1,State 1,Shadow Tomography,0.775,0.772,0.19,0.229,0.677,0.866
QST Dataset1,State 2,Bayesian Inference,0.914,0.856,0.245,0.277,0.778,0.963
QST Dataset1,State 3,Maximum Likelihood,0.727,0.817,0.203,0.241,0.926,0.922
QST Dataset1,State 4,Variational Quantum Eigensolver,0.888,0.928,0.092,0.222,0.678,0.964
QST Dataset1,State 5,Quantum Neural Networks,0.847,0.818,0.122,0.099,0.684,0.84
QST Dataset1,State 1,Reinforcement Learning Quantum Algorithms,0.819,0.813,0.293,0.22,0.782,0.776
QST Dataset1,State 2,Shadow Tomography,0.735,0.859,0.24,0.114,0.745,0.832
QST Dataset1,State 3,Bayesian Inference,0.939,0.818,0.119,0.087,0.763,0.769
QST Dataset1,State 4,Maximum Likelihood,0.841,0.829,0.292,0.173,0.929,0.806
QST Dataset1,State 5,Variational Quantum Eigensolver,0.768,0.796,0.193,0.278,0.849,0.808
QST Dataset1,State 1,Quantum Neural Networks,0.879,0.875,0.14,0.256,0.835,0.855
QST Dataset1,State 2,Reinforcement Learning Quantum Algorithms,0.724,0.814,0.089,0.226,0.818,0.967
QST Dataset1,State 3,Shadow Tomography,0.843,0.941,0.166,0.182,0.788,0.787
QST Dataset1,State 4,Bayesian Inference,0.76,0.876,0.084,0.206,0.694,0.795
QST Dataset1,State 5,Maximum Likelihood,0.833,0.751,0.084,0.272,0.794,0.815
QST Dataset1,State 1,Variational Quantum Eigensolver,0.755,0.907,0.154,0.173,0.72,0.838
QST Dataset1,State 2,Quantum Neural Networks,0.811,0.769,0.141,0.125,0.796,0.887
QST Dataset1,State 3,Reinforcement Learning Quantum Algorithms,0.873,0.738,0.086,0.09,0.682,0.817
QST Dataset1,State 4,Shadow Tomography,0.805,0.717,0.092,0.114,0.89,0.846
QST Dataset1,State 5,Bayesian Inference,0.946,0.918,0.229,0.195,0.763,0.831
QST Dataset1,State 1,Maximum Likelihood,0.818,0.941,0.219,0.241,0.918,0.893
QST Dataset1,State 2,Variational Quantum Eigensolver,0.866,0.878,0.275,0.06,0.852,0.756
QST Dataset1,State 3,Quantum Neural Networks,0.944,0.886,0.081,0.232,0.73,0.759
QST Dataset1,State 4,Reinforcement Learning Quantum Algorithms,0.81,0.753,0.105,0.094,0.672,0.792
QST Dataset1,State 5,Shadow Tomography,0.772,0.732,0.103,0.056,0.656,0.936
QST Dataset1,State 1,Bayesian Inference,0.899,0.82,0.067,0.097,0.662,0.769
QST Dataset1,State 2,Maximum Likelihood,0.892,0.708,0.246,0.227,0.851,0.944
QST Dataset1,State 3,Variational Quantum Eigensolver,0.837,0.808,0.14,0.2,0.753,0.914
QST Dataset1,State 4,Quantum Neural Networks,0.744,0.757,0.114,0.058,0.794,0.865
QST Dataset1,State 5,Reinforcement Learning Quantum Algorithms,0.881,0.811,0.27,0.115,0.785,0.932
QST Dataset1,State 1,Shadow Tomography,0.701,0.825,0.106,0.085,0.781,0.768
QST Dataset1,State 2,Bayesian Inference,0.776,0.828,0.155,0.252,0.907,0.916
QST Dataset1,State 3,Maximum Likelihood,0.737,0.855,0.287,0.202,0.82,0.866
QST Dataset1,State 4,Variational Quantum Eigensolver,0.776,0.71,0.087,0.215,0.699,0.961
QST Dataset1,State 5,Quantum Neural Networks,0.876,0.878,0.117,0.264,0.903,0.805
QST Dataset1,State 1,Reinforcement Learning Quantum Algorithms,0.784,0.864,0.137,0.28,0.653,0.817
QST Dataset1,State 2,Shadow Tomography,0.833,0.893,0.14,0.092,0.847,0.759
QST Dataset1,State 3,Bayesian Inference,0.773,0.832,0.137,0.107,0.677,0.893
QST Dataset1,State 4,Maximum Likelihood,0.937,0.943,0.17,0.233,0.736,0.944
QST Dataset1,State 5,Variational Quantum Eigensolver,0.912,0.718,0.168,0.163,0.843,0.768
QST Dataset1,State 1,Quantum Neural Networks,0.903,0.909,0.081,0.087,0.773,0.936
QST Dataset1,State 2,Reinforcement Learning Quantum Algorithms,0.724,0.923,0.161,0.247,0.74,0.965
QST Dataset1,State 3,Shadow Tomography,0.861,0.846,0.06,0.055,0.927,0.929
QST Dataset1,State 4,Bayesian Inference,0.823,0.719,0.175,0.106,0.659,0.82
QST Dataset1,State 5,Maximum Likelihood,0.89,0.76,0.126,0.268,0.733,0.873
QST Dataset1,State 1,Variational Quantum Eigensolver,0.815,0.761,0.076,0.228,0.709,0.893
QST Dataset1,State 2,Quantum Neural Networks,0.773,0.731,0.055,0.153,0.764,0.898
QST Dataset1,State 3,Reinforcement Learning Quantum Algorithms,0.858,0.938,0.074,0.065,0.738,0.806
QST Dataset1,State 4,Shadow Tomography,0.875,0.739,0.088,0.118,0.704,0.945
QST Dataset1,State 5,Bayesian Inference,0.727,0.827,0.257,0.052,0.739,0.754
QST Dataset1,State 1,Maximum Likelihood,0.931,0.903,0.198,0.096,0.764,0.935
QST Dataset1,State 2,Variational Quantum Eigensolver,0.943,0.873,0.156,0.138,0.804,0.862
QST Dataset1,State 3,Quantum Neural Networks,0.861,0.712,0.23,0.269,0.716,0.948
QST Dataset1,State 4,Reinforcement Learning Quantum Algorithms,0.889,0.88,0.262,0.058,0.838,0.781
QST Dataset1,State 5,Shadow Tomography,0.918,0.908,0.15,0.145,0.867,0.968
QST Dataset1,State 1,Bayesian Inference,0.932,0.834,0.22,0.163,0.763,0.907
QST Dataset1,State 2,Maximum Likelihood,0.852,0.784,0.23,0.278,0.839,0.891
QST Dataset1,State 3,Variational Quantum Eigensolver,0.702,0.868,0.148,0.101,0.676,0.846
QST Dataset1,State 4,Quantum Neural Networks,0.808,0.799,0.139,0.096,0.722,0.775
QST Dataset1,State 5,Reinforcement Learning Quantum Algorithms,0.858,0.78,0.131,0.138,0.696,0.799
QST Dataset1,State 1,Shadow Tomography,0.709,0.709,0.099,0.24,0.694,0.789
QST Dataset1,State 2,Bayesian Inference,0.831,0.738,0.086,0.173,0.687,0.783
QST Dataset1,State 3,Maximum Likelihood,0.75,0.919,0.124,0.214,0.854,0.838
QST Dataset1,State 4,Variational Quantum Eigensolver,0.747,0.875,0.194,0.104,0.772,0.955
QST Dataset1,State 5,Quantum Neural Networks,0.791,0.733,0.061,0.128,0.67,0.8
QST Dataset1,State 1,Reinforcement Learning Quantum Algorithms,0.712,0.719,0.191,0.161,0.918,0.798
QST Dataset1,State 2,Shadow Tomography,0.722,0.799,0.269,0.271,0.704,0.856
QST Dataset1,State 3,Bayesian Inference,0.732,0.813,0.298,0.098,0.841,0.868
QST Dataset1,State 4,Maximum Likelihood,0.857,0.795,0.197,0.297,0.666,0.854
QST Dataset1,State 5,Variational Quantum Eigensolver,0.773,0.832,0.247,0.072,0.776,0.826
QST Dataset1,State 1,Quantum Neural Networks,0.861,0.895,0.198,0.112,0.7,0.903
QST Dataset1,State 2,Reinforcement Learning Quantum Algorithms,0.759,0.723,0.239,0.108,0.928,0.933
QST Dataset1,State 3,Shadow Tomography,0.889,0.761,0.269,0.207,0.705,0.817
QST Dataset1,State 4,Bayesian Inference,0.729,0.931,0.11,0.112,0.845,0.94
QST Dataset1,State 5,Maximum Likelihood,0.923,0.735,0.133,0.247,0.922,0.894
QST Dataset1,State 1,Variational Quantum Eigensolver,0.783,0.872,0.166,0.206,0.771,0.777
QST Dataset1,State 2,Quantum Neural Networks,0.908,0.763,0.275,0.061,0.797,0.948
QST Dataset1,State 3,Reinforcement Learning Quantum Algorithms,0.748,0.933,0.248,0.274,0.83,0.917
QST Dataset1,State 4,Shadow Tomography,0.861,0.834,0.121,0.234,0.687,0.822
QST Dataset1,State 5,Bayesian Inference,0.84,0.8,0.113,0.207,0.702,0.906
QST Dataset1,State 1,Maximum Likelihood,0.716,0.843,0.051,0.226,0.88,0.932
QST Dataset1,State 2,Variational Quantum Eigensolver,0.746,0.881,0.149,0.165,0.813,0.932
QST Dataset1,State 3,Quantum Neural Networks,0.844,0.815,0.2,0.274,0.8,0.874
QST Dataset1,State 4,Reinforcement Learning Quantum Algorithms,0.796,0.743,0.213,0.124,0.791,0.897
QST Dataset1,State 5,Shadow Tomography,0.723,0.912,0.064,0.159,0.653,0.925
QST Dataset1,State 1,Bayesian Inference,0.941,0.761,0.093,0.226,0.92,0.942
QST Dataset1,State 2,Maximum Likelihood,0.787,0.892,0.197,0.212,0.86,0.874
QST Dataset1,State 3,Variational Quantum Eigensolver,0.879,0.897,0.181,0.052,0.656,0.777
QST Dataset1,State 4,Quantum Neural Networks,0.803,0.798,0.176,0.058,0.687,0.759
QST Dataset1,State 5,Reinforcement Learning Quantum Algorithms,0.757,0.701,0.283,0.244,0.896,0.881
QST Dataset1,State 1,Shadow Tomography,0.894,0.703,0.226,0.183,0.835,0.879
QST Dataset1,State 2,Bayesian Inference,0.846,0.794,0.214,0.109,0.758,0.915
QST Dataset1,State 3,Maximum Likelihood,0.889,0.861,0.138,0.155,0.82,0.883
QST Dataset1,State 4,Variational Quantum Eigensolver,0.819,0.927,0.216,0.127,0.925,0.898
QST Dataset1,State 5,Quantum Neural Networks,0.914,0.816,0.139,0.277,0.764,0.951
QST Dataset1,State 1,Reinforcement Learning Quantum Algorithms,0.75,0.708,0.064,0.086,0.734,0.806
QST Dataset1,State 2,Shadow Tomography,0.793,0.728,0.25,0.296,0.85,0.952
QST Dataset1,State 3,Bayesian Inference,0.74,0.803,0.213,0.176,0.785,0.886
QST Dataset1,State 4,Maximum Likelihood,0.921,0.719,0.209,0.265,0.894,0.838
QST Dataset1,State 5,Variational Quantum Eigensolver,0.854,0.782,0.187,0.226,0.785,0.784
QST Dataset1,State 1,Quantum Neural Networks,0.784,0.881,0.078,0.08,0.714,0.97
QST Dataset1,State 2,Reinforcement Learning Quantum Algorithms,0.764,0.857,0.082,0.269,0.748,0.861
QST Dataset1,State 3,Shadow Tomography,0.723,0.926,0.203,0.07,0.862,0.804
QST Dataset1,State 4,Bayesian Inference,0.73,0.755,0.16,0.286,0.868,0.757
QST Dataset1,State 5,Maximum Likelihood,0.777,0.912,0.157,0.254,0.744,0.943
QST Dataset1,State 1,Variational Quantum Eigensolver,0.71,0.829,0.095,0.088,0.855,0.867
QST Dataset1,State 2,Quantum Neural Networks,0.767,0.931,0.091,0.144,0.696,0.914
QST Dataset1,State 3,Reinforcement Learning Quantum Algorithms,0.826,0.821,0.141,0.251,0.755,0.879
QST Dataset1,State 4,Shadow Tomography,0.887,0.838,0.123,0.14,0.717,0.888
