Dataset ID,Quantum State,Method,Expected Fidelity,Observed Fidelity,Expected Error,Observed Error,CI Lower Bound,CI Upper Bound
QST Dataset4,State 1,Bayesian Inference,0.943,0.865,0.184,0.134,0.83,0.855
QST Dataset4,State 2,Maximum Likelihood,0.941,0.94,0.128,0.139,0.768,0.77
QST Dataset4,State 3,Variational Quantum Eigensolver,0.739,0.793,0.176,0.266,0.901,0.881
QST Dataset4,State 4,Quantum Neural Networks,0.726,0.784,0.251,0.161,0.895,0.8
QST Dataset4,State 5,Reinforcement Learning Quantum Algorithms,0.922,0.925,0.129,0.107,0.746,0.922
QST Dataset4,State 1,Shadow Tomography,0.783,0.818,0.244,0.25,0.862,0.962
QST Dataset4,State 2,Bayesian Inference,0.869,0.948,0.243,0.075,0.91,0.833
QST Dataset4,State 3,Maximum Likelihood,0.944,0.89,0.146,0.055,0.721,0.882
QST Dataset4,State 4,Variational Quantum Eigensolver,0.755,0.849,0.057,0.093,0.917,0.853
QST Dataset4,State 5,Quantum Neural Networks,0.836,0.843,0.235,0.212,0.805,0.911
QST Dataset4,State 1,Reinforcement Learning Quantum Algorithms,0.811,0.89,0.2,0.271,0.902,0.766
QST Dataset4,State 2,Shadow Tomography,0.874,0.897,0.265,0.062,0.684,0.897
QST Dataset4,State 3,Bayesian Inference,0.754,0.843,0.187,0.208,0.724,0.913
QST Dataset4,State 4,Maximum Likelihood,0.757,0.913,0.084,0.163,0.799,0.768
QST Dataset4,State 5,Variational Quantum Eigensolver,0.751,0.925,0.237,0.239,0.812,0.956
QST Dataset4,State 1,Quantum Neural Networks,0.84,0.737,0.162,0.246,0.687,0.828
QST Dataset4,State 2,Reinforcement Learning Quantum Algorithms,0.812,0.773,0.214,0.254,0.787,0.928
QST Dataset4,State 3,Shadow Tomography,0.891,0.902,0.11,0.102,0.821,0.9
QST Dataset4,State 4,Bayesian Inference,0.771,0.893,0.089,0.289,0.783,0.917
QST Dataset4,State 5,Maximum Likelihood,0.818,0.861,0.126,0.147,0.696,0.846
QST Dataset4,State 1,Variational Quantum Eigensolver,0.741,0.738,0.203,0.152,0.885,0.941
QST Dataset4,State 2,Quantum Neural Networks,0.846,0.848,0.164,0.115,0.848,0.789
QST Dataset4,State 3,Reinforcement Learning Quantum Algorithms,0.752,0.885,0.061,0.174,0.699,0.956
QST Dataset4,State 4,Shadow Tomography,0.794,0.78,0.272,0.154,0.815,0.88
QST Dataset4,State 5,Bayesian Inference,0.936,0.829,0.131,0.112,0.871,0.93
QST Dataset4,State 1,Maximum Likelihood,0.926,0.805,0.173,0.205,0.832,0.822
QST Dataset4,State 2,Variational Quantum Eigensolver,0.761,0.794,0.122,0.145,0.876,0.815
QST Dataset4,State 3,Quantum Neural Networks,0.777,0.843,0.26,0.084,0.827,0.788
QST Dataset4,State 4,Reinforcement Learning Quantum Algorithms,0.925,0.753,0.156,0.262,0.672,0.908
QST Dataset4,State 5,Shadow Tomography,0.755,0.746,0.165,0.093,0.729,0.761
QST Dataset4,State 1,Bayesian Inference,0.757,0.767,0.121,0.164,0.835,0.885
QST Dataset4,State 2,Maximum Likelihood,0.891,0.789,0.084,0.204,0.707,0.826
QST Dataset4,State 3,Variational Quantum Eigensolver,0.885,0.917,0.101,0.108,0.739,0.884
QST Dataset4,State 4,Quantum Neural Networks,0.872,0.751,0.078,0.127,0.723,0.952
QST Dataset4,State 5,Reinforcement Learning Quantum Algorithms,0.77,0.827,0.245,0.262,0.723,0.803
QST Dataset4,State 1,Shadow Tomography,0.785,0.947,0.115,0.271,0.814,0.913
QST Dataset4,State 2,Bayesian Inference,0.776,0.908,0.21,0.101,0.885,0.759
QST Dataset4,State 3,Maximum Likelihood,0.766,0.946,0.156,0.295,0.928,0.939
QST Dataset4,State 4,Variational Quantum Eigensolver,0.903,0.904,0.192,0.097,0.857,0.922
QST Dataset4,State 5,Quantum Neural Networks,0.741,0.702,0.119,0.277,0.914,0.931
QST Dataset4,State 1,Reinforcement Learning Quantum Algorithms,0.914,0.887,0.184,0.144,0.814,0.967
QST Dataset4,State 2,Shadow Tomography,0.832,0.782,0.108,0.19,0.777,0.9
QST Dataset4,State 3,Bayesian Inference,0.921,0.777,0.208,0.076,0.849,0.949
QST Dataset4,State 4,Maximum Likelihood,0.726,0.757,0.1,0.094,0.702,0.962
QST Dataset4,State 5,Variational Quantum Eigensolver,0.839,0.907,0.252,0.192,0.889,0.9
QST Dataset4,State 1,Quantum Neural Networks,0.853,0.747,0.243,0.259,0.773,0.876
QST Dataset4,State 2,Reinforcement Learning Quantum Algorithms,0.786,0.705,0.181,0.088,0.909,0.909
QST Dataset4,State 3,Shadow Tomography,0.721,0.822,0.136,0.221,0.863,0.956
QST Dataset4,State 4,Bayesian Inference,0.85,0.874,0.157,0.126,0.825,0.867
QST Dataset4,State 5,Maximum Likelihood,0.915,0.746,0.076,0.131,0.929,0.902
QST Dataset4,State 1,Variational Quantum Eigensolver,0.708,0.715,0.064,0.287,0.789,0.753
QST Dataset4,State 2,Quantum Neural Networks,0.933,0.803,0.12,0.207,0.914,0.907
QST Dataset4,State 3,Reinforcement Learning Quantum Algorithms,0.891,0.898,0.209,0.166,0.768,0.877
QST Dataset4,State 4,Shadow Tomography,0.905,0.73,0.283,0.271,0.844,0.941
QST Dataset4,State 5,Bayesian Inference,0.784,0.774,0.244,0.074,0.856,0.957
QST Dataset4,State 1,Maximum Likelihood,0.839,0.731,0.082,0.262,0.76,0.856
QST Dataset4,State 2,Variational Quantum Eigensolver,0.901,0.75,0.126,0.127,0.849,0.949
QST Dataset4,State 3,Quantum Neural Networks,0.711,0.91,0.14,0.297,0.811,0.877
QST Dataset4,State 4,Reinforcement Learning Quantum Algorithms,0.709,0.921,0.216,0.223,0.825,0.962
QST Dataset4,State 5,Shadow Tomography,0.718,0.917,0.278,0.082,0.695,0.96
QST Dataset4,State 1,Bayesian Inference,0.894,0.801,0.106,0.118,0.806,0.898
QST Dataset4,State 2,Maximum Likelihood,0.914,0.745,0.203,0.108,0.867,0.949
QST Dataset4,State 3,Variational Quantum Eigensolver,0.827,0.944,0.223,0.189,0.716,0.762
QST Dataset4,State 4,Quantum Neural Networks,0.818,0.907,0.053,0.294,0.735,0.833
QST Dataset4,State 5,Reinforcement Learning Quantum Algorithms,0.731,0.923,0.269,0.257,0.736,0.932
QST Dataset4,State 1,Shadow Tomography,0.911,0.851,0.264,0.234,0.914,0.817
QST Dataset4,State 2,Bayesian Inference,0.735,0.91,0.061,0.139,0.7,0.87
QST Dataset4,State 3,Maximum Likelihood,0.812,0.907,0.264,0.157,0.918,0.914
QST Dataset4,State 4,Variational Quantum Eigensolver,0.751,0.909,0.104,0.209,0.703,0.858
QST Dataset4,State 5,Quantum Neural Networks,0.709,0.884,0.242,0.153,0.792,0.955
QST Dataset4,State 1,Reinforcement Learning Quantum Algorithms,0.887,0.766,0.073,0.291,0.866,0.899
QST Dataset4,State 2,Shadow Tomography,0.92,0.768,0.122,0.242,0.795,0.921
QST Dataset4,State 3,Bayesian Inference,0.931,0.826,0.091,0.078,0.885,0.802
QST Dataset4,State 4,Maximum Likelihood,0.948,0.789,0.237,0.1,0.717,0.855
QST Dataset4,State 5,Variational Quantum Eigensolver,0.863,0.715,0.229,0.198,0.775,0.779
QST Dataset4,State 1,Quantum Neural Networks,0.709,0.742,0.107,0.178,0.874,0.865
QST Dataset4,State 2,Reinforcement Learning Quantum Algorithms,0.793,0.799,0.163,0.139,0.853,0.877
QST Dataset4,State 3,Shadow Tomography,0.75,0.918,0.229,0.119,0.883,0.905
QST Dataset4,State 4,Bayesian Inference,0.947,0.934,0.088,0.279,0.849,0.884
QST Dataset4,State 5,Maximum Likelihood,0.709,0.915,0.188,0.107,0.879,0.772
QST Dataset4,State 1,Variational Quantum Eigensolver,0.888,0.881,0.201,0.236,0.842,0.85
QST Dataset4,State 2,Quantum Neural Networks,0.834,0.804,0.142,0.3,0.815,0.774
QST Dataset4,State 3,Reinforcement Learning Quantum Algorithms,0.879,0.712,0.224,0.248,0.656,0.889
QST Dataset4,State 4,Shadow Tomography,0.726,0.77,0.13,0.081,0.892,0.9
QST Dataset4,State 5,Bayesian Inference,0.714,0.75,0.212,0.093,0.929,0.886
QST Dataset4,State 1,Maximum Likelihood,0.782,0.714,0.11,0.133,0.764,0.8
QST Dataset4,State 2,Variational Quantum Eigensolver,0.907,0.792,0.117,0.106,0.721,0.95
QST Dataset4,State 3,Quantum Neural Networks,0.941,0.931,0.245,0.143,0.665,0.756
QST Dataset4,State 4,Reinforcement Learning Quantum Algorithms,0.852,0.721,0.268,0.058,0.683,0.915
QST Dataset4,State 5,Shadow Tomography,0.775,0.909,0.255,0.061,0.83,0.92
QST Dataset4,State 1,Bayesian Inference,0.857,0.759,0.248,0.089,0.888,0.803
QST Dataset4,State 2,Maximum Likelihood,0.773,0.828,0.15,0.227,0.706,0.861
QST Dataset4,State 3,Variational Quantum Eigensolver,0.909,0.77,0.147,0.168,0.718,0.81
QST Dataset4,State 4,Quantum Neural Networks,0.81,0.903,0.179,0.172,0.779,0.912
QST Dataset4,State 5,Reinforcement Learning Quantum Algorithms,0.772,0.741,0.099,0.176,0.685,0.755
QST Dataset4,State 1,Shadow Tomography,0.751,0.71,0.125,0.279,0.866,0.883
QST Dataset4,State 2,Bayesian Inference,0.849,0.74,0.272,0.054,0.892,0.905
QST Dataset4,State 3,Maximum Likelihood,0.902,0.946,0.206,0.263,0.782,0.863
QST Dataset4,State 4,Variational Quantum Eigensolver,0.927,0.781,0.196,0.108,0.653,0.903
QST Dataset4,State 5,Quantum Neural Networks,0.923,0.883,0.23,0.096,0.7,0.855
