Dataset ID,Quantum State,Method,Expected Fidelity,Observed Fidelity,Expected Error,Observed Error,CI Lower Bound,CI Upper Bound
QST Dataset3,State 1,Bayesian Inference,0.949,0.779,0.071,0.148,0.706,0.773
QST Dataset3,State 2,Maximum Likelihood,0.829,0.705,0.196,0.064,0.744,0.85
QST Dataset3,State 3,Variational Quantum Eigensolver,0.743,0.9,0.089,0.145,0.881,0.827
QST Dataset3,State 4,Quantum Neural Networks,0.747,0.729,0.148,0.139,0.885,0.757
QST Dataset3,State 5,Reinforcement Learning Quantum Algorithms,0.749,0.867,0.148,0.168,0.9,0.781
QST Dataset3,State 1,Shadow Tomography,0.738,0.766,0.093,0.165,0.91,0.825
QST Dataset3,State 2,Bayesian Inference,0.882,0.759,0.224,0.16,0.714,0.883
QST Dataset3,State 3,Maximum Likelihood,0.907,0.938,0.063,0.149,0.765,0.867
QST Dataset3,State 4,Variational Quantum Eigensolver,0.787,0.816,0.283,0.206,0.712,0.821
QST Dataset3,State 5,Quantum Neural Networks,0.84,0.942,0.277,0.287,0.803,0.812
QST Dataset3,State 1,Reinforcement Learning Quantum Algorithms,0.866,0.867,0.189,0.051,0.725,0.806
QST Dataset3,State 2,Shadow Tomography,0.809,0.813,0.063,0.287,0.869,0.91
QST Dataset3,State 3,Bayesian Inference,0.914,0.92,0.112,0.13,0.925,0.877
QST Dataset3,State 4,Maximum Likelihood,0.73,0.913,0.262,0.211,0.887,0.774
QST Dataset3,State 5,Variational Quantum Eigensolver,0.81,0.735,0.242,0.223,0.699,0.876
QST Dataset3,State 1,Quantum Neural Networks,0.908,0.94,0.163,0.27,0.878,0.859
QST Dataset3,State 2,Reinforcement Learning Quantum Algorithms,0.938,0.92,0.109,0.091,0.714,0.866
QST Dataset3,State 3,Shadow Tomography,0.814,0.738,0.271,0.108,0.918,0.957
QST Dataset3,State 4,Bayesian Inference,0.77,0.935,0.144,0.206,0.771,0.925
QST Dataset3,State 5,Maximum Likelihood,0.818,0.94,0.181,0.109,0.65,0.942
QST Dataset3,State 1,Variational Quantum Eigensolver,0.792,0.781,0.261,0.246,0.773,0.858
QST Dataset3,State 2,Quantum Neural Networks,0.828,0.711,0.151,0.281,0.79,0.755
QST Dataset3,State 3,Reinforcement Learning Quantum Algorithms,0.717,0.811,0.062,0.266,0.861,0.784
QST Dataset3,State 4,Shadow Tomography,0.789,0.736,0.086,0.163,0.879,0.855
QST Dataset3,State 5,Bayesian Inference,0.779,0.829,0.3,0.285,0.822,0.947
QST Dataset3,State 1,Maximum Likelihood,0.857,0.852,0.29,0.189,0.921,0.871
QST Dataset3,State 2,Variational Quantum Eigensolver,0.798,0.913,0.198,0.117,0.917,0.802
QST Dataset3,State 3,Quantum Neural Networks,0.923,0.765,0.072,0.149,0.774,0.927
QST Dataset3,State 4,Reinforcement Learning Quantum Algorithms,0.909,0.752,0.223,0.189,0.929,0.758
QST Dataset3,State 5,Shadow Tomography,0.88,0.868,0.265,0.178,0.775,0.862
QST Dataset3,State 1,Bayesian Inference,0.929,0.751,0.131,0.208,0.889,0.837
QST Dataset3,State 2,Maximum Likelihood,0.948,0.706,0.259,0.066,0.906,0.869
QST Dataset3,State 3,Variational Quantum Eigensolver,0.871,0.867,0.226,0.239,0.867,0.896
QST Dataset3,State 4,Quantum Neural Networks,0.71,0.705,0.249,0.199,0.782,0.936
QST Dataset3,State 5,Reinforcement Learning Quantum Algorithms,0.808,0.755,0.132,0.259,0.805,0.792
QST Dataset3,State 1,Shadow Tomography,0.797,0.89,0.172,0.284,0.696,0.756
QST Dataset3,State 2,Bayesian Inference,0.897,0.911,0.066,0.261,0.711,0.799
QST Dataset3,State 3,Maximum Likelihood,0.902,0.757,0.067,0.256,0.876,0.85
QST Dataset3,State 4,Variational Quantum Eigensolver,0.92,0.79,0.285,0.297,0.751,0.859
QST Dataset3,State 5,Quantum Neural Networks,0.914,0.739,0.241,0.07,0.824,0.921
QST Dataset3,State 1,Reinforcement Learning Quantum Algorithms,0.949,0.737,0.102,0.107,0.906,0.809
QST Dataset3,State 2,Shadow Tomography,0.912,0.877,0.213,0.083,0.731,0.835
